Piezo Trigger BOM,,,,,,,,
,,,,,,,,
Item #,Reference Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package/Footprint ,Type,Instructions / Notes
1,C1 C2 C3 C4,4,Vishay,K103K15X7RF5TH5,10000 pF ±10% 50V Ceramic Capacitor X7R Radial,5mm Pitch,THRU-HOLE,
2,C6,1,Vishay,K104K15X7RF5TH5,0.1 µF ±10% 50V Ceramic Capacitor X7R Radial,5mm Pitch,THRU-HOLE,
3,C5,1,Panasonic,ECA-1CM100I,10 µF 16 V Aluminum Electrolytic Capacitor Radial,2.5mm Pitch,THRU-HOLE,
4,D1 D3 D5 D7,4,Onsemi,1N4148,DIODE GEN PURP 100V 200MA DO35,DO35,THRU-HOLE,
5,D2 D4 D6 D8,4,Kingbright,WP7113ID,LED RED DIFFUSED T-1 3/4 T/H,T-1 3/4,THRU-HOLE,
6,J2,1,Sullins Connector Solutions,PREC008SAAN-RC,"Connector Header Through Hole 8 position 0.100""",8POS,THRU-HOLE,
7,J1,1,Phoenix Contact,1729186,TERM BLK 8P SIDE ENT 5.08MM PCB,8POS,THRU-HOLE,
8,J3 J4,2,Sullins Connector Solutions,PREC002SAAN-RC,"Connector Header Through Hole 2 position 0.100""",2POS,THRU-HOLE,
9,R1 R5 R9 R13,4,YAGEO,CFR-25JR-52-100R,RES 100 OHM 5% 1/4W AXIAL,Axial,THRU-HOLE,
10,R2 R6 R10 R14,4,YAGEO,CFR-25JR-52-330R,RES 330 OHM 5% 1/4W AXIAL,Axial,THRU-HOLE,
11,R17 R18 R19 R20,4,Vishay,T73YP103KT20,TRIMMER 10K OHM 0.5W PC PIN TOP,2.5mm Pitch,THRU-HOLE,
12,R3 R7 R11 R15,4,YAGEO,CFR-25JR-52-100K,RES 100K OHM 5% 1/4W AXIAL,Axial,THRU-HOLE,
13,R4 R8 R12 R16,4,YAGEO,CFR-25JR-52-1M,RES 1M OHM 5% 1/4W AXIAL,Axial,THRU-HOLE,
14,U1,1,Texas Instruments,LM324N,IC OPAMP GP 4 CIRCUIT 14DIP,DIP-14,THRU-HOLE,
15,Z1 Z2 Z3 Z4,4,Onsemi,1N5231B,DIODE ZENER 5.1V 500MW DO35,DO35,THRU-HOLE,